Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
P1,29/08/15,Setubal,Rio Ave,2,2,D,0,0,D,2.38,3.1,3.1,2.3,3,3.2,2.4,3.1,2.8,2.4,2.9,2.9,2.48,3.19,3.19,2.38,2.8,3.2,2.55,3,3.2,35,2.55,2.4,3.2,3.02,3.2,3.01,28,2.63,2.55,1.51,1.47,22,-0.25,2.19,2.11,1.81,1.74
P1,30/08/15,Academica,Sp Lisbon,1,3,A,1,2,A,8.5,4.33,1.4,7.75,4.1,1.42,5.7,3.8,1.5,8,4,1.4,8.91,4.6,1.43,8,4,1.4,9.5,4.5,1.4,34,9.5,8.2,4.6,4.22,1.5,1.39,31,2.21,2.08,1.78,1.71,23,1.25,1.91,1.84,2.05,1.98
P1,30/08/15,Pacos Ferreira,Arouca,1,1,D,1,1,D,2.1,3.2,3.6,1.95,3.2,3.9,2,3.2,3.4,2.05,3,3.6,2.13,3.3,3.88,2.15,2.9,3.6,2.1,3.3,3.8,35,2.15,2.07,3.3,3.16,3.88,3.6,28,2.5,2.37,1.6,1.54,23,-0.25,1.85,1.79,2.11,2.04
P1,30/08/15,Sp Braga,Boavista,4,0,H,1,0,H,1.5,3.6,8.5,1.55,3.6,6.5,1.55,3.7,5.4,1.5,3.6,7,1.52,4.06,8.01,1.53,3.5,6.5,1.5,4,8,35,1.55,1.5,4.06,3.76,8.5,6.99,28,2.5,2.34,1.61,1.55,23,-1,1.98,1.92,1.96,1.89
P1,30/08/15,Tondela,Nacional,1,0,H,0,0,D,2.9,3.1,2.5,2.95,3.1,2.4,2.7,3.1,2.5,2.88,2.9,2.4,3.12,3.1,2.59,2.8,2.88,2.6,3,3.1,2.6,35,3.12,2.88,3.25,3.01,2.6,2.5,28,2.77,2.55,1.5,1.47,23,0,2.15,2.05,1.84,1.77
P1,31/08/15,Belenenses,Maritimo,1,1,D,0,1,A,2.3,3.1,3.25,2.25,3,3.3,2.2,3.1,3.1,2.3,2.9,3.1,2.44,3.11,3.33,2.38,2.88,3.1,2.4,3.1,3.3,33,2.44,2.33,3.15,3.01,3.33,3.14,27,2.71,2.58,1.5,1.46,22,-0.25,2.08,2.01,1.86,1.8
P1,31/08/15,Uniao Madeira,Guimaraes,0,0,D,0,0,D,2.9,3.1,2.5,2.95,3.05,2.4,2.7,3.1,2.5,2.9,2.9,2.4,3.08,3.11,2.6,3,2.8,2.5,3,3.1,2.6,34,3.08,2.91,3.11,3,2.6,2.48,28,2.71,2.57,1.5,1.47,22,0,2.14,2.04,1.83,1.77
P1,11/09/15,Benfica,Belenenses,6,0,H,3,0,H,1.25,5.5,13,1.25,5.25,11,1.25,5,10,1.25,5.5,13,1.23,6.7,16.2,1.2,5.5,13,1.25,6,13,38,1.3,1.22,6.7,5.69,16.2,12.84,33,1.8,1.75,2.14,2.03,27,-1.75,2.13,2.02,1.84,1.78
P1,12/09/15,Arouca,Porto,1,3,A,0,1,A,9.5,4.5,1.36,9.75,5,1.28,7.3,4.5,1.35,10,4.5,1.36,11.62,4.93,1.35,9,4.2,1.35,10.5,4.8,1.36,37,11.62,9.81,4.93,4.58,1.36,1.33,33,2.08,1.98,1.87,1.79,27,1.25,2.05,1.97,1.93,1.84
P1,12/09/15,Estoril,Sp Braga,1,0,H,0,0,D,3,3.2,2.4,2.9,2.8,2.65,2.7,3.1,2.5,2.88,3,2.6,2.88,3.25,2.7,2.9,2.9,2.5,3,3.2,2.55,37,3.01,2.84,3.25,3.07,2.7,2.51,26,2.5,2.36,1.61,1.54,25,0,2.12,2.01,1.88,1.82
