šport;država;liga;stavina;dan;polčas;tip;hc;tot;igralnaKvota;razlika;profit
Hockey;Švedska;Swed Elits 3;1;5;0;2;NULL;NULL;1,90;0,033;-1,00
Basketball;Mednarodni;Euroleague;2;5;0;2;NULL;NULL;4,25;0,031;-1,00
Basketball;Mednarodni;Euroleague;1;5;0;2;NULL;NULL;1,55;0,043;0,55
soccer;Poljska;Poland Cup;2;5;0;2;NULL;NULL;4,20;0,044;-1,00
tennis;svet;Barclay RR;1;5;0;2;1,50;NULL;4,30;0,032;-1,00
soccer;Brazilija;Brazil Ser A;1;5;0;2;NULL;NULL;1,80;0,056;0,80
soccer;Argentina;Argentina B;2;5;0;4;NULL;2,50;1,45;0,033;0,45
Hockey;ZDA;NHL Reg Time;2;6;0;2;NULL;NULL;2,35;0,048;-1,00
soccer;Argentina;Argentina B;2;6;0;4;NULL;2,50;1,50;0,045;-1,00
Basketball;ZDA;NBA;1;6;0;2;NULL;NULL;1,32;0,053;0,32
Basketball;ZDA;NBA;2;6;0;2;NULL;NULL;1,40;0,035;0,40
Basketball;Filipini;PBA Phil Cup;2;6;0;2;NULL;NULL;1,85;0,033;0,85
Basketball;Filipini;PBA Phil Cup;1;6;0;2;NULL;NULL;1,35;0,033;-1,00
soccer;Iran;Iran PL;1;6;0;2;NULL;NULL;4,30;0,041;-1,00
tennis;svet;M MonteV QF;2;6;0;2;0,00;NULL;2,15;0,031;-1,00
soccer;Srbija;Serbia SL;2;6;0;4;NULL;2,50;1,50;0,05;-1,00
tennis;svet;M Brescia SF;2;6;1;2;0,00;NULL;1,65;0,036;-1,00
soccer;Hrvaška;Croati 1.HNL;2;6;0;2;NULL;NULL;1,52;0,035;0,52
soccer;Romunija;Romania 1;2;6;0;2;NULL;NULL;2,60;0,051;1,60
Hockey;Švica;Switz NL A 3;2;6;0;2;NULL;NULL;1,98;0,037;0,98
soccer;Nizozemska;Dutch 2;1;6;0;2;NULL;NULL;1,75;0,032;0,75
Basketball;Mednarodni;Euroleague;1;6;0;2;NULL;NULL;1,89;0,037;0,89
soccer;Francija;French 2;2;6;0;4;NULL;2,50;1,65;0,033;-1,00
soccer;Francija;France 3;2;6;0;2;NULL;NULL;2,25;0,032;1,25
soccer;Francija;France 3;2;6;0;2;NULL;NULL;2,35;0,041;1,35
Basketball;Češka;Czech Mat;2;6;0;2;NULL;NULL;1,55;0,039;-1,00
soccer;Francija;French 1;2;6;0;2;NULL;NULL;2,20;0,033;-1,00
soccer;Škotska;Scot 1;1;6;0;2;NULL;NULL;2,50;0,054;-1,00
Basketball;Mednarodni;Euroleague;2;6;0;2;NULL;NULL;1,65;0,037;0,65
soccer;Portugalska;Portugal Cup;1;6;0;2;0,00;NULL;2,09;0,042;1,09
soccer;Portugalska;Portugal Cup;1;6;0;2;NULL;NULL;2,90;0,033;1,90
Hockey;ZDA;NHL OT Incl;2;7;0;2;1,00;NULL;3,25;0,045;-1,00
Hockey;ZDA;NHL Reg Time;2;7;0;2;NULL;NULL;2,30;0,033;-1,00
soccer;Argentina;Argentine;2;7;0;4;NULL;2,50;1,50;0,036;-1,00
Basketball;ZDA;NBA;2;7;0;2;NULL;NULL;2,49;0,042;-1,00
Basketball;ZDA;NBA;2;7;0;2;NULL;NULL;1,90;0,036;0,90
Basketball;ZDA;NBA;2;7;0;2;NULL;NULL;1,67;0,034;-1,00
Basketball;ZDA;NBA;2;7;0;2;NULL;NULL;1,40;0,037;0,40
soccer;Mehika;Mexican;1;7;0;2;NULL;NULL;2,10;0,031;1,10
Basketball;J.Koreja;Korean BL;2;7;0;2;NULL;NULL;3,00;0,031;-1,00
soccer;Rusija;Russia FNL;1;7;0;2;NULL;NULL;1,85;0,043;-1,00
Basketball;Avstralija;Aussie WNBL;1;7;0;2;NULL;NULL;2,65;0,034;1,65
Basketball;J.Koreja;Korean BL;1;7;0;2;NULL;NULL;1,55;0,035;0,55
soccer;Belorusija;Belarus Cup;1;7;0;4;NULL;2,50;1,85;0,031;-1,00
Basketball;Turčija;Turkey TBL;1;7;0;2;NULL;NULL;2,45;0,033;1,45
soccer;JAR;So Africa PL;1;7;0;2;NULL;NULL;1,65;0,042;0,65
soccer;Italija;Serie B;2;7;0;2;NULL;NULL;4,00;0,044;-1,00
soccer;Madžarska;Hungary BL;1;7;0;2;NULL;NULL;1,40;0,031;0,40
soccer;Anglija;Eng. Chship;2;7;0;2;NULL;NULL;4,45;0,032;-1,00
soccer;Ciper;Cyprus 1st D;2;7;0;4;NULL;2,50;1,85;0,035;-1,00
Basketball;Grčija;Greek A1;2;7;0;2;NULL;NULL;2,65;0,103;-1,00
Basketball;Grčija;Greek A1;1;7;0;2;NULL;NULL;1,48;0,063;-1,00
soccer;Škotska;Scot 1;2;7;0;2;NULL;NULL;1,25;0,033;-1,00
soccer;Škotska;Scot 2;1;7;0;2;NULL;NULL;1,70;0,046;0,70
soccer;Anglija;Eng L1;1;7;0;4;NULL;2,50;1,70;0,035;0,70
soccer;Škotska;Scot 1;1;7;0;4;NULL;2,50;1,65;0,04;-1,00
soccer;Severna Irska;N. Ireland P;1;7;0;4;NULL;2,50;1,60;0,032;0,60
soccer;Anglija;Eng. Premier;2;7;1;4;NULL;1,50;1,55;0,034;-1,00
Basketball;Hrvaška;Croatian;1;7;0;2;NULL;NULL;5,00;0,034;-1,00
soccer;Slovaška;Slovakia CL;1;7;0;2;NULL;NULL;1,75;0,052;0,75
soccer;JAR;So Africa PL;2;7;0;4;NULL;2,50;1,77;0,038;0,77
soccer;Švica;Swiss;2;7;0;2;NULL;NULL;4,70;0,031;-1,00
Basketball;Hrvaška;Croatian;2;7;0;2;NULL;NULL;4,25;0,067;-1,00
soccer;Izrael;Israel Prem;2;7;0;4;NULL;2,50;1,60;0,033;-1,00
soccer;Izrael;Israel Prem;1;7;0;2;0,00;NULL;2,05;0,038;-1,00
Basketball;Poljska;Polish Liga;2;7;0;2;NULL;NULL;3,30;0,04;-1,00
Basketball;Nemčija;Ger - Bund 1;1;7;0;2;NULL;NULL;1,45;0,041;0,45
Basketball;Nemčija;Ger - Bund 1;1;7;0;2;NULL;NULL;1,25;0,038;0,25
soccer;Avstrija;Austrian;2;7;0;2;NULL;NULL;1,95;0,031;0,95
Basketball;Srbija;Serbia NaLig;1;7;0;2;NULL;NULL;1,63;0,094;0,63
